     index            Field [G]         Intensity []

         1               3158.5                 2360
         2     3158.74279433317                 2550
         3     3158.98558866634                 2615
         4     3159.22838299951                 2522
         5     3159.47117733268                 2345
         6     3159.71397166585                 2286
         7     3159.95676599902                 2313
         8     3160.19956033219                 2425
         9     3160.44235466536                 2435
        10     3160.68514899853                 2436
        11     3160.92794333171                 2335
        12     3161.17073766488                 2435
        13     3161.41353199805                 2508
        14     3161.65632633122                 2352
        15     3161.89912066439                 2400
        16     3162.14191499756                 2379
        17     3162.38470933073                 2223
        18      3162.6275036639                 2280
        19     3162.87029799707                 2515
        20     3163.11309233024                 2440
        21     3163.35588666341                 2470
        22     3163.59868099658                 2255
        23     3163.84147532975                 2114
        24     3164.08426966292                 2375
        25     3164.32706399609                 2452
        26     3164.56985832926                 2360
        27     3164.81265266243                 2371
        28      3165.0554469956                 2401
        29     3165.29824132877                 2339
        30     3165.54103566194                 2487
        31     3165.78382999511                 2440
        32     3166.02662432829                 2343
        33     3166.26941866146                 2398
        34     3166.51221299463                 2441
        35      3166.7550073278                 2398
        36     3166.99780166097                 2439
        37     3167.24059599414                 2693
        38     3167.48339032731                 2686
        39     3167.72618466048                 2394
        40     3167.96897899365                 2360
        41     3168.21177332682                 2396
        42     3168.45456765999                 2390
        43     3168.69736199316                 2451
        44     3168.94015632633                 2491
        45      3169.1829506595                 2343
        46     3169.42574499267                 2221
        47     3169.66853932584                 2179
        48     3169.91133365901                 2207
        49     3170.15412799218                 2377
        50     3170.39692232535                 2402
        51     3170.63971665852                 2348
        52      3170.8825109917                 2290
        53     3171.12530532487                 2235
        54     3171.36809965804                 2371
        55     3171.61089399121                 2347
        56     3171.85368832438                 2170
        57     3172.09648265755                 2168
        58     3172.33927699072                 2169
        59     3172.58207132389                 2257
        60     3172.82486565706                 2226
        61     3173.06765999023                 1901
        62      3173.3104543234                 1998
        63     3173.55324865657                 2021
        64     3173.79604298974                 1949
        65     3174.03883732291                 2064
        66     3174.28163165608                 2128
        67     3174.52442598925                 2153
        68     3174.76722032242                 1978
        69     3175.01001465559                 1957
        70     3175.25280898876                 2110
        71     3175.49560332193                 2078
        72     3175.73839765511                 1767
        73     3175.98119198828                 1834
        74     3176.22398632145                 1840
        75     3176.46678065462                 1772
        76     3176.70957498779                 1744
        77     3176.95236932096                 1782
        78     3177.19516365413                 1770
        79      3177.4379579873                 1907
        80     3177.68075232047                 1645
        81     3177.92354665364                 1578
        82     3178.16634098681                 1718
        83     3178.40913531998                 1733
        84     3178.65192965315                 1688
        85     3178.89472398632                 1724
        86     3179.13751831949                 1731
        87     3179.38031265266                 1731
        88     3179.62310698583                 1842
        89       3179.865901319                 1918
        90     3180.10869565217                 1978
        91     3180.35148998534                 2015
        92     3180.59428431851                 1971
        93     3180.83707865169                 1824
        94     3181.07987298486                 1714
        95     3181.32266731803                 1712
        96      3181.5654616512                 1818
        97     3181.80825598437                 1708
        98     3182.05105031754                 1600
        99     3182.29384465071                 1736
       100     3182.53663898388                 1847
       101     3182.77943331705                 1827
       102     3183.02222765022                 2010
       103     3183.26502198339                 1911
       104     3183.50781631656                 1730
       105     3183.75061064973                 1710
       106      3183.9934049829                 1732
       107     3184.23619931607                 1848
       108     3184.47899364924                 2079
       109     3184.72178798241                 1945
       110     3184.96458231558                 1948
       111     3185.20737664875                 1966
       112     3185.45017098192                 1886
       113      3185.6929653151                 1846
       114     3185.93575964827                 1947
       115     3186.17855398144                 2032
       116     3186.42134831461                 1969
       117     3186.66414264778                 1798
       118     3186.90693698095                 1808
       119     3187.14973131412                 1819
       120     3187.39252564729                 1701
       121     3187.63531998046                 1744
       122     3187.87811431363                 1757
       123      3188.1209086468                 1848
       124     3188.36370297997                 2027
       125     3188.60649731314                 2217
       126     3188.84929164631                 2128
       127     3189.09208597948                 2006
       128     3189.33488031265                 1937
       129     3189.57767464582                 1890
       130     3189.82046897899                 1840
       131     3190.06326331216                 1747
       132     3190.30605764533                 1887
       133     3190.54885197851                 1985
       134     3190.79164631168                 2032
       135     3191.03444064485                 2023
       136     3191.27723497802                 2061
       137     3191.52002931119                 2107
       138     3191.76282364436                 2031
       139     3192.00561797753                 1966
       140      3192.2484123107                 2066
       141     3192.49120664387                 2059
       142     3192.73400097704                 2149
       143     3192.97679531021                 2104
       144     3193.21958964338                 2005
       145     3193.46238397655                 1977
       146     3193.70517830972                 2131
       147     3193.94797264289                 2193
       148     3194.19076697606                 2028
       149     3194.43356130923                 1990
       150      3194.6763556424                 2106
       151     3194.91914997557                 2143
       152     3195.16194430874                 2099
       153     3195.40473864192                 1960
       154     3195.64753297509                 1985
       155     3195.89032730826                 2079
       156     3196.13312164143                 2131
       157      3196.3759159746                 2034
       158     3196.61871030777                 2073
       159     3196.86150464094                 2013
       160     3197.10429897411                 2080
       161     3197.34709330728                 1963
       162     3197.58988764045                 1837
       163     3197.83268197362                 1911
       164     3198.07547630679                 1976
       165     3198.31827063996                 2005
       166     3198.56106497313                 2099
       167      3198.8038593063                 1927
       168     3199.04665363947                 1926
       169     3199.28944797264                 2069
       170     3199.53224230581                 2084
       171     3199.77503663898                 2051
       172     3200.01783097215                 1911
       173     3200.26062530532                 2038
       174      3200.5034196385                 2080
       175     3200.74621397167                 2083
       176     3200.98900830484                 2059
       177     3201.23180263801                 1979
       178     3201.47459697118                 1972
       179     3201.71739130435                 1938
       180     3201.96018563752                 2144
       181     3202.20297997069                 2300
       182     3202.44577430386                 2192
       183     3202.68856863703                 2244
       184      3202.9313629702                 2372
       185     3203.17415730337                 2236
       186     3203.41695163654                 2131
       187     3203.65974596971                 2192
       188     3203.90254030288                 2147
       189     3204.14533463605                 2160
       190     3204.38812896922                 2160
       191     3204.63092330239                 2106
       192     3204.87371763556                 2235
       193     3205.11651196873                 2240
       194     3205.35930630191                 2217
       195     3205.60210063508                 2213
       196     3205.84489496825                 2163
       197     3206.08768930142                 2013
       198     3206.33048363459                 2080
       199     3206.57327796776                 2254
       200     3206.81607230093                 2157
       201      3207.0588666341                 2218
       202     3207.30166096727                 2420
       203     3207.54445530044                 2328
       204     3207.78724963361                 2155
       205     3208.03004396678                 2061
       206     3208.27283829995                 1891
       207     3208.51563263312                 1924
       208     3208.75842696629                 1804
       209     3209.00122129946                 1904
       210     3209.24401563263                 1922
       211      3209.4868099658                 1990
       212     3209.72960429897                 1808
       213     3209.97239863214                 1816
       214     3210.21519296532                 1977
       215     3210.45798729849                 1999
       216     3210.70078163166                 2080
       217     3210.94357596483                 2147
       218       3211.186370298                 2168
       219     3211.42916463117                 2168
       220     3211.67195896434                 2079
       221     3211.91475329751                 2057
       222     3212.15754763068                 2027
       223     3212.40034196385                 1922
       224     3212.64313629702                 2020
       225     3212.88593063019                 2159
       226     3213.12872496336                 2212
       227     3213.37151929653                 1862
       228      3213.6143136297                 1911
       229     3213.85710796287                 2184
       230     3214.09990229604                 2127
       231     3214.34269662921                 2269
       232     3214.58549096238                 2170
       233     3214.82828529555                 2109
       234     3215.07107962872                 1942
       235      3215.3138739619                 1983
       236     3215.55666829507                 2121
       237     3215.79946262824                 2075
       238     3216.04225696141                 1938
       239     3216.28505129458                 2007
       240     3216.52784562775                 2303
       241     3216.77063996092                 2173
       242     3217.01343429409                 1863
       243     3217.25622862726                 1823
       244     3217.49902296043                 2010
