     index            Field [G]         Intensity []

         1               3350.9                 1994
         2     3351.16803519062                 2148
         3     3351.43607038123                 2034
         4     3351.70410557185                 2065
         5     3351.97214076246                 1942
         6     3352.24017595308                 2070
         7      3352.5082111437                 1956
         8     3352.77624633431                 1948
         9     3353.04428152493                 1971
        10     3353.31231671554                 1817
        11     3353.58035190616                 2081
        12     3353.84838709677                 2035
        13     3354.11642228739                 2243
        14     3354.38445747801                 2239
        15     3354.65249266862                 2216
        16     3354.92052785924                 1866
        17     3355.18856304985                 2045
        18     3355.45659824047                 1996
        19     3355.72463343109                 2116
        20      3355.9926686217                 2365
        21     3356.26070381232                 2357
        22     3356.52873900293                 2406
        23     3356.79677419355                 2414
        24     3357.06480938416                 2357
        25     3357.33284457478                 1939
        26      3357.6008797654                 1958
        27     3357.86891495601                 2124
        28     3358.13695014663                 2287
        29     3358.40498533724                 2436
        30     3358.67302052786                 2430
        31     3358.94105571848                 2295
        32     3359.20909090909                 2481
        33     3359.47712609971                 2680
        34     3359.74516129032                 2434
        35     3360.01319648094                 2464
        36     3360.28123167155                 2385
        37     3360.54926686217                 2319
        38     3360.81730205279                 2558
        39      3361.0853372434                 2516
        40     3361.35337243402                 2586
        41     3361.62140762463                 2737
        42     3361.88944281525                 2612
        43     3362.15747800587                 2458
        44     3362.42551319648                 2607
        45      3362.6935483871                 2556
        46     3362.96158357771                 2427
        47     3363.22961876833                 2271
        48     3363.49765395894                 2304
        49     3363.76568914956                 2477
        50     3364.03372434018                 2471
        51     3364.30175953079                 2334
        52     3364.56979472141                 2400
        53     3364.83782991202                 2516
        54     3365.10586510264                 2416
        55     3365.37390029326                 2299
        56     3365.64193548387                 2126
        57     3365.90997067449                 2178
        58      3366.1780058651                 2280
        59     3366.44604105572                 2274
        60     3366.71407624633                 2269
        61     3366.98211143695                 2430
        62     3367.25014662757                 2286
        63     3367.51818181818                 2249
        64      3367.7862170088                 2630
        65     3368.05425219941                 2734
        66     3368.32228739003                 2576
        67     3368.59032258065                 2485
        68     3368.85835777126                 2725
        69     3369.12639296188                 2607
        70     3369.39442815249                 2459
        71     3369.66246334311                 2532
        72     3369.93049853372                 2443
        73     3370.19853372434                 2236
        74     3370.46656891496                 2182
        75     3370.73460410557                 2375
        76     3371.00263929619                 2438
        77      3371.2706744868                 2476
        78     3371.53870967742                 2511
        79     3371.80674486804                 2674
        80     3372.07478005865                 2571
        81     3372.34281524927                 2421
        82     3372.61085043988                 2406
        83      3372.8788856305                 2448
        84     3373.14692082111                 2447
        85     3373.41495601173                 2421
        86     3373.68299120235                 2626
        87     3373.95102639296                 2698
        88     3374.21906158358                 2614
        89     3374.48709677419                 2475
        90     3374.75513196481                 2361
        91     3375.02316715543                 2427
        92     3375.29120234604                 2500
        93     3375.55923753666                 2562
        94     3375.82727272727                 2618
        95     3376.09530791789                 2475
        96      3376.3633431085                 2359
        97     3376.63137829912                 2080
        98     3376.89941348974                 2034
        99     3377.16744868035                 2347
       100     3377.43548387097                 2257
       101     3377.70351906158                 2180
       102      3377.9715542522                 2273
       103     3378.23958944282                 2401
       104     3378.50762463343                 2394
       105     3378.77565982405                 2312
       106     3379.04369501466                 2180
       107     3379.31173020528                 2342
       108     3379.57976539589                 2308
       109     3379.84780058651                 2261
       110     3380.11583577713                 2371
       111     3380.38387096774                 2216
       112     3380.65190615836                 2461
       113     3380.91994134897                 2469
       114     3381.18797653959                 2422
       115     3381.45601173021                 2289
       116     3381.72404692082                 2231
       117     3381.99208211144                 2197
       118     3382.26011730205                 2293
       119     3382.52815249267                 2271
       120     3382.79618768328                 2474
       121      3383.0642228739                 2545
       122     3383.33225806452                 2412
       123     3383.60029325513                 2446
       124     3383.86832844575                 2527
       125     3384.13636363636                 2294
       126     3384.40439882698                 2247
       127      3384.6724340176                 2259
       128     3384.94046920821                 2400
       129     3385.20850439883                 2557
       130     3385.47653958944                 2509
       131     3385.74457478006                 2546
       132     3386.01260997067                 2501
       133     3386.28064516129                 2292
       134     3386.54868035191                 2279
       135     3386.81671554252                 2180
       136     3387.08475073314                 2345
       137     3387.35278592375                 2688
       138     3387.62082111437                 2527
       139     3387.88885630499                 2359
       140      3388.1568914956                 2360
       141     3388.42492668622                 2284
       142     3388.69296187683                 2456
       143     3388.96099706745                 2423
       144     3389.22903225806                 2364
       145     3389.49706744868                 2388
       146      3389.7651026393                 2402
       147     3390.03313782991                 2490
       148     3390.30117302053                 2441
       149     3390.56920821114                 2386
       150     3390.83724340176                 2552
       151     3391.10527859238                 2797
       152     3391.37331378299                 2930
       153     3391.64134897361                 2849
       154     3391.90938416422                 2809
       155     3392.17741935484                 2810
       156     3392.44545454545                 2819
       157     3392.71348973607                 2639
       158     3392.98152492669                 2452
       159      3393.2495601173                 2425
       160     3393.51759530792                 2458
       161     3393.78563049853                 2525
       162     3394.05366568915                 2362
       163     3394.32170087977                 2453
       164     3394.58973607038                 2578
       165       3394.857771261                 2685
       166     3395.12580645161                 2668
       167     3395.39384164223                 2669
       168     3395.66187683284                 2728
       169     3395.92991202346                 2660
       170     3396.19794721408                 2531
       171     3396.46598240469                 2335
       172     3396.73401759531                 2662
       173     3397.00205278592                 2914
       174     3397.27008797654                 2764
       175     3397.53812316716                 2657
       176     3397.80615835777                 2583
       177     3398.07419354839                 2363
       178       3398.342228739                 2501
       179     3398.61026392962                 2331
       180     3398.87829912023                 2342
       181     3399.14633431085                 2300
       182     3399.41436950147                 2262
       183     3399.68240469208                 2140
       184      3399.9504398827                 2006
       185     3400.21847507331                 2144
       186     3400.48651026393                 2320
       187     3400.75454545455                 2217
       188     3401.02258064516                 2516
       189     3401.29061583578                 2519
       190     3401.55865102639                 2399
       191     3401.82668621701                 2418
       192     3402.09472140762                 2434
       193     3402.36275659824                 2689
       194     3402.63079178886                 2551
       195     3402.89882697947                 2706
       196     3403.16686217009                 2966
       197      3403.4348973607                 2780
       198     3403.70293255132                 2503
       199     3403.97096774194                 2443
       200     3404.23900293255                 2509
       201     3404.50703812317                 2387
       202     3404.77507331378                 2514
       203      3405.0431085044                 2602
       204     3405.31114369501                 2600
       205     3405.57917888563                 2688
       206     3405.84721407625                 2384
       207     3406.11524926686                 2405
       208     3406.38328445748                 2353
       209     3406.65131964809                 1978
       210     3406.91935483871                 1868
       211     3407.18739002933                 2194
       212     3407.45542521994                 2359
       213     3407.72346041056                 2412
       214     3407.99149560117                 2409
       215     3408.25953079179                 2525
       216      3408.5275659824                 2342
       217     3408.79560117302                 2319
       218     3409.06363636364                 2436
       219     3409.33167155425                 2546
       220     3409.59970674487                 2562
       221     3409.86774193548                 2331
       222      3410.1357771261                 2168
       223     3410.40381231672                 2179
       224     3410.67184750733                 2267
       225     3410.93988269795                 2359
       226     3411.20791788856                 2485
       227     3411.47595307918                 2506
       228     3411.74398826979                 2582
       229     3412.01202346041                 2633
       230     3412.28005865103                 2431
       231     3412.54809384164                 2255
       232     3412.81612903226                 2100
       233     3413.08416422287                 2126
       234     3413.35219941349                 2430
       235     3413.62023460411                 2457
       236     3413.88826979472                 2676
       237     3414.15630498534                 2578
       238     3414.42434017595                 2510
       239     3414.69237536657                 2543
       240     3414.96041055718                 2511
       241      3415.2284457478                 2410
       242     3415.49648093842                 2560
       243     3415.76451612903                 2822
       244     3416.03255131965                 2730
       245     3416.30058651026                 2647
       246     3416.56862170088                 2678
       247      3416.8366568915                 2791
       248     3417.10469208211                 2704
       249     3417.37272727273                 2575
       250     3417.64076246334                 2543
       251     3417.90879765396                 2728
       252     3418.17683284458                 2698
       253     3418.44486803519                 2669
       254     3418.71290322581                 2618
       255     3418.98093841642                 2531
       256     3419.24897360704                 2518
       257     3419.51700879765                 2487
       258     3419.78504398827                 2536
       259     3420.05307917889                 2430
       260      3420.3211143695                 2428
       261     3420.58914956012                 2237
       262     3420.85718475073                 2471
       263     3421.12521994135                 2465
       264     3421.39325513196                 2507
       265     3421.66129032258                 2634
       266      3421.9293255132                 2754
       267     3422.19736070381                 2509
       268     3422.46539589443                 2492
       269     3422.73343108504                 2520
       270     3423.00146627566                 2679
       271     3423.26950146628                 2651
       272     3423.53753665689                 2608
       273     3423.80557184751                 2679
       274     3424.07360703812                 2542
       275     3424.34164222874                 2437
       276     3424.60967741935                 2550
       277     3424.87771260997                 2446
       278     3425.14574780059                 2485
       279      3425.4137829912                 2557
       280     3425.68181818182                 2613
       281     3425.94985337243                 2787
       282     3426.21788856305                 2802
       283     3426.48592375367                 2815
       284     3426.75395894428                 2832
       285      3427.0219941349                 2665
       286     3427.29002932551                 2663
       287     3427.55806451613                 2582
       288     3427.82609970675                 2607
       289     3428.09413489736                 2775
       290     3428.36217008798                 2740
       291     3428.63020527859                 2837
       292     3428.89824046921                 2888
       293     3429.16627565982                 2676
       294     3429.43431085044                 2672
       295     3429.70234604106                 2483
       296     3429.97038123167                 2648
       297     3430.23841642229                 2677
       298      3430.5064516129                 2706
       299     3430.77448680352                 2640
       300     3431.04252199413                 2610
       301     3431.31055718475                 2698
       302     3431.57859237537                 2877
       303     3431.84662756598                 2747
       304      3432.1146627566                 2794
       305     3432.38269794721                 2784
       306     3432.65073313783                 2833
       307     3432.91876832845                 2754
       308     3433.18680351906                 2509
       309     3433.45483870968                 2347
       310     3433.72287390029                 2540
       311     3433.99090909091                 2677
       312     3434.25894428153                 2675
       313     3434.52697947214                 2487
       314     3434.79501466276                 2494
       315     3435.06304985337                 2500
       316     3435.33108504399                 2525
       317      3435.5991202346                 2302
       318     3435.86715542522                 2490
       319     3436.13519061584                 2639
       320     3436.40322580645                 2731
       321     3436.67126099707                 2734
       322     3436.93929618768                 2607
       323      3437.2073313783                 2370
       324     3437.47536656891                 2140
       325     3437.74340175953                 2017
       326     3438.01143695015                 2275
       327     3438.27947214076                 2388
       328     3438.54750733138                 2333
       329     3438.81554252199                 2219
       330     3439.08357771261                 2078
       331     3439.35161290323                 2256
       332     3439.61964809384                 2256
       333     3439.88768328446                 2072
       334     3440.15571847507                 1953
       335     3440.42375366569                 2030
       336     3440.69178885631                 2267
       337     3440.95982404692                 1974
       338     3441.22785923754                 1868
       339     3441.49589442815                 1905
       340     3441.76392961877                 2163
       341     3442.03196480938                 2235
       342               3442.3                 2247
       343     3442.56803519062                 2196
       344     3442.83607038123                 1963
       345     3443.10410557185                 2097
       346     3443.37214076246                 2134
       347     3443.64017595308                 2047
       348      3443.9082111437                 2046
       349     3444.17624633431                 1857
       350     3444.44428152493                 1971
       351     3444.71231671554                 1973
       352     3444.98035190616                 2007
       353     3445.24838709677                 2000
       354     3445.51642228739                 1716
       355     3445.78445747801                 1610
       356     3446.05249266862                 1967
       357     3446.32052785924                 2177
       358     3446.58856304985                 2111
       359     3446.85659824047                 1766
       360     3447.12463343108                 1755
       361      3447.3926686217                 2100
       362     3447.66070381232                 1972
       363     3447.92873900293                 2212
       364     3448.19677419355                 2386
       365     3448.46480938416                 2158
       366     3448.73284457478                 2167
       367      3449.0008797654                 2093
       368     3449.26891495601                 2041
       369     3449.53695014663                 2171
       370     3449.80498533724                 2111
       371     3450.07302052786                 2223
       372     3450.34105571848                 2209
       373     3450.60909090909                 2205
       374     3450.87712609971                 2004
       375     3451.14516129032                 1822
       376     3451.41319648094                 1921
       377     3451.68123167155                 2105
       378     3451.94926686217                 2358
       379     3452.21730205279                 2250
       380      3452.4853372434                 2164
       381     3452.75337243402                 2003
       382     3453.02140762463                 2137
       383     3453.28944281525                 2273
       384     3453.55747800587                 2329
       385     3453.82551319648                 2377
       386      3454.0935483871                 2440
       387     3454.36158357771                 2273
       388     3454.62961876833                 2438
       389     3454.89765395894                 2344
       390     3455.16568914956                 2361
       391     3455.43372434018                 2208
       392     3455.70175953079                 2376
       393     3455.96979472141                 2373
       394     3456.23782991202                 2404
       395     3456.50586510264                 2488
       396     3456.77390029326                 2619
       397     3457.04193548387                 2704
       398     3457.30997067449                 2518
       399      3457.5780058651                 2613
       400     3457.84604105572                 2632
       401     3458.11407624633                 2498
       402     3458.38211143695                 2717
       403     3458.65014662757                 2641
       404     3458.91818181818                 2671
       405      3459.1862170088                 2450
       406     3459.45425219941                 2422
       407     3459.72228739003                 2345
       408     3459.99032258065                 2199
       409     3460.25835777126                 2299
       410     3460.52639296188                 2478
       411     3460.79442815249                 2407
       412     3461.06246334311                 2453
       413     3461.33049853372                 2553
       414     3461.59853372434                 2273
       415     3461.86656891496                 2403
       416     3462.13460410557                 2467
       417     3462.40263929619                 2696
       418      3462.6706744868                 2708
       419     3462.93870967742                 2649
       420     3463.20674486804                 2487
       421     3463.47478005865                 2487
       422     3463.74281524927                 2233
       423     3464.01085043988                 2208
       424      3464.2788856305                 2242
       425     3464.54692082111                 2131
       426     3464.81495601173                 2302
       427     3465.08299120235                 2373
       428     3465.35102639296                 2259
       429     3465.61906158358                 2300
       430     3465.88709677419                 2401
       431     3466.15513196481                 2294
       432     3466.42316715543                 2533
       433     3466.69120234604                 2615
       434     3466.95923753666                 2309
       435     3467.22727272727                 2408
       436     3467.49530791789                 2545
       437      3467.7633431085                 2684
       438     3468.03137829912                 2888
       439     3468.29941348974                 2824
       440     3468.56744868035                 2681
       441     3468.83548387097                 2583
       442     3469.10351906158                 2577
       443      3469.3715542522                 2797
       444     3469.63958944282                 2954
       445     3469.90762463343                 2804
       446     3470.17565982405                 2945
       447     3470.44369501466                 3003
       448     3470.71173020528                 3019
       449     3470.97976539589                 2885
       450     3471.24780058651                 2800
       451     3471.51583577713                 2857
       452     3471.78387096774                 2823
       453     3472.05190615836                 2985
       454     3472.31994134897                 3015
       455     3472.58797653959                 2970
       456     3472.85601173021                 3046
       457     3473.12404692082                 3192
       458     3473.39208211144                 2953
       459     3473.66011730205                 3179
       460     3473.92815249267                 3370
       461     3474.19618768328                 3544
       462      3474.4642228739                 3604
       463     3474.73225806452                 3838
       464     3475.00029325513                 3862
       465     3475.26832844575                 3651
       466     3475.53636363636                 3895
       467     3475.80439882698                 3761
       468      3476.0724340176                 3765
       469     3476.34046920821                 3871
       470     3476.60850439883                 3890
       471     3476.87653958944                 3869
       472     3477.14457478006                 3743
       473     3477.41260997067                 3911
       474     3477.68064516129                 4088
       475     3477.94868035191                 3998
       476     3478.21671554252                 4039
       477     3478.48475073314                 4237
       478     3478.75278592375                 4560
       479     3479.02082111437                 4400
       480     3479.28885630499                 4099
       481      3479.5568914956                 4269
       482     3479.82492668622                 4326
       483     3480.09296187683                 4469
       484     3480.36099706745                 4855
       485     3480.62903225806                 5179
       486     3480.89706744868                 5144
       487      3481.1651026393                 5160
       488     3481.43313782991                 5474
       489     3481.70117302053                 5807
       490     3481.96920821114                 5946
       491     3482.23724340176                 6090
       492     3482.50527859238                 6171
       493     3482.77331378299                 6256
       494     3483.04134897361                 6389
       495     3483.30938416422                 6446
       496     3483.57741935484                 6843
       497     3483.84545454545                 7052
       498     3484.11348973607                 7410
       499     3484.38152492669                 7598
       500      3484.6495601173                 7953
       501     3484.91759530792                 8101
       502     3485.18563049853                 8543
       503     3485.45366568915                 9076
       504     3485.72170087977                 9419
       505     3485.98973607038                 9971
       506       3486.257771261                10664
       507     3486.52580645161                11260
       508     3486.79384164223                12246
       509     3487.06187683284                13070
       510     3487.32991202346                14095
       511     3487.59794721408                15078
       512     3487.86598240469                16547
       513     3488.13401759531                18401
       514     3488.40205278592                20352
       515     3488.67008797654                22601
       516     3488.93812316716                24358
       517     3489.20615835777                25192
       518     3489.47419354839                24019
       519       3489.742228739                21180
       520     3490.01026392962                16873
       521     3490.27829912023                11384
       522     3490.54633431085                 5506
       523     3490.81436950147                 -447
       524     3491.08240469208                -6727
       525      3491.3504398827               -12426
       526     3491.61847507331               -17175
       527     3491.88651026393               -20325
       528     3492.15454545455               -21625
       529     3492.42258064516               -21152
       530     3492.69061583578               -19376
       531     3492.95865102639               -17402
       532     3493.22668621701               -15654
       533     3493.49472140762               -13854
       534     3493.76275659824               -12207
       535     3494.03079178886               -11089
       536     3494.29882697947                -9872
       537     3494.56686217009                -8925
       538      3494.8348973607                -8246
       539     3495.10293255132                -7569
       540     3495.37096774194                -7164
       541     3495.63900293255                -6666
       542     3495.90703812317                -6039
       543     3496.17507331378                -5457
       544      3496.4431085044                -5262
       545     3496.71114369501                -4860
       546     3496.97917888563                -4522
       547     3497.24721407625                -4187
       548     3497.51524926686                -3669
       549     3497.78328445748                -3295
       550     3498.05131964809                -3116
       551     3498.31935483871                -3036
       552     3498.58739002933                -2844
       553     3498.85542521994                -2724
       554     3499.12346041056                -2331
       555     3499.39149560117                -2239
       556     3499.65953079179                -2491
       557      3499.9275659824                -2365
       558     3500.19560117302                -2025
       559     3500.46363636364                -1901
       560     3500.73167155425                -1769
       561     3500.99970674487                -1526
       562     3501.26774193548                -1606
       563      3501.5357771261                -1599
       564     3501.80381231672                -1443
       565     3502.07184750733                -1339
       566     3502.33988269795                -1197
       567     3502.60791788856                 -964
       568     3502.87595307918                 -902
       569     3503.14398826979                 -934
       570     3503.41202346041                 -752
       571     3503.68005865103                 -579
       572     3503.94809384164                 -382
       573     3504.21612903226                 -512
       574     3504.48416422287                 -582
       575     3504.75219941349                 -516
       576     3505.02023460411                 -572
       577     3505.28826979472                 -658
       578     3505.55630498534                 -496
       579     3505.82434017595                 -262
       580     3506.09237536657                  157
       581     3506.36041055718                  156
       582      3506.6284457478                  -17
       583     3506.89648093842                   53
       584     3507.16451612903                   70
       585     3507.43255131965                  251
       586     3507.70058651026                  414
       587     3507.96862170088                  488
       588      3508.2366568915                  316
       589     3508.50469208211                  426
       590     3508.77272727273                  542
       591     3509.04076246334                  343
       592     3509.30879765396                  288
       593     3509.57683284457                  402
       594     3509.84486803519                  455
       595     3510.11290322581                  440
       596     3510.38093841642                  521
       597     3510.64897360704                  465
       598     3510.91700879765                  713
       599     3511.18504398827                  728
       600     3511.45307917889                  555
       601      3511.7211143695                  506
       602     3511.98914956012                  709
       603     3512.25718475073                  437
       604     3512.52521994135                  544
       605     3512.79325513196                  673
       606     3513.06129032258                 1179
       607      3513.3293255132                 1125
       608     3513.59736070381                  919
       609     3513.86539589443                  631
       610     3514.13343108504                  721
       611     3514.40146627566                  785
       612     3514.66950146628                  765
       613     3514.93753665689                  660
       614     3515.20557184751                  838
